comment,label,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
máy ok không chê điểm nào chính_thức là fans vivo mọi chức_năng đều như_ý mình mong_muốn lần đầu_tiên xài thử vivo,{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,0,1,0,0,0,1,0
mới xài được 3 ngày sản_phẩm thì khá là ok lỗi thì chưa thấy nhưng chỉ có cái nghe gọi thì loa hơi nhỏ phải bật loa ngoài mới nghe được chụp hình thì đẹp rõ chơi game thì đối_với liên_quân nha lúc không giao_tranh thì mạng hơi cao nhưng lúc giao_tranh chỉ 8ms hoặc ít hơn còn bubg thì mượt bắn thì khá là được mạng thì không cao lắm mua tầm giá này chắc là ok pin xài thì 2 ngày sạc 1 lần có chơi game đấy 1 trận liên_quân mấy chục phút mà tuột có 4 5 pin thì khá là ok ok _ hand,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};,1,1,0,2,1,3,0,0,0,0
dùng tốt chơi game bao mượt không nóng như lời đồn pin trâu nói_chung là tốt rất hài_lòng nhân_viên vui_vẻ nhiệt_tình ok,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,1,0,0,0,1,1,0,0,1,0
có ai giống mh kg mh mua ip 7 plus mấy bị hở viền bên phải xong đem máy ra được đợi lại cái mới cái mới bóc ra cùng bị hở nữa những nhẹ hơn cái trước máy mấy b xem coi có ai mua bị hở giống mh kg buồn thiệt chứ đã vậy mấy còn kêu ọp_ẹp khi vận_động mạnh không biết có ảnh hướng gì về chất_lượng máy hok xài lâu_dài không bịt sao nữa,{DESIGN#Negative};{OTHERS};,0,0,2,0,0,0,0,0,0,0
không bjk ngày_mai có ra đổi được không đây mới mua hôm_qua dùng có mùi cháy khet của linh_kiện dùng càng lâu mùi khét càng nặng giờ không dám dùng luôn chưa bao_giờ dùng điện_thoại mà lo_sợ vãi,{PERFORMANCE#Negative};{OTHERS};,0,0,0,0,0,2,0,0,0,0
sản_phẩm rất tốt mượt_mà pin quá trâu camera đẹp chỉ mổi tội không được trang màn_hình super amoled thích cái màn super amoled vì màu đen của nó quá sâu cực sâu lunk,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,1,1,0,0,1,1,0,2,0,0
tôi hiện đang dùng sam sung s20 plus đổi từ samsung s7 edge khi hoàng hà mobile phối_hợp samsung đổi máy cũ lên mới qua gần 2 tháng dùng ss 20 gặp vấn_đề 3 lần bị treo đơ máy ảnh chụp khá đẹp nhưng khi đưa ảnh chụp vào lưu_trữ khá chậm và không hơn gì con s7egd cũ của tôi là bao,{CAMERA#Neutral};{PERFORMANCE#Negative};{OTHERS};,0,3,0,0,0,2,0,0,0,0
máy chạy rất tốt hàng rất đản bảo các bạn nhân_viên phục_vụ rất nhiệt_tình tôi thấy rất ưng_ý,{GENERAL#Positive};{SER&ACC#Positive};,0,0,0,0,1,0,0,0,1,0
mình mới mua a51 được vài ngày theo mình cảm_nhận 1 máy giá hơi cao so với giá_trị của máy 2 pin xài rất kém chưa đến 1 ngày đả hết pin dù chỉ đọc báo 3 camera quá tệ đúng_ra 4 camera mà chụp hình_như có 1 camera 4 xài chút_xíu điện_thoại sẻ nóng lên ở sao lưng dt tóm_lại a51 thật_sự thất_vọng đối_với mình,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};{OTHERS};,2,2,0,0,2,2,2,0,0,0
mình hay mua máy ở thế_giới di_động vì máy ở đây bảo_đảm và nhân_viên phục_vụ nhiệt_tình lần này ra mua con 9s này là đã có điềm rồi lúc đầu lấy máy màu xanh bật nguồn ngồi đợi đến 15p máy không lên luôn xong đổi ra con máy màu xám bật cái lên trong vòng 5 đến 10 giây cảm_thấy hài_lòng và nhận máy đi về về xài mới thấy máy hay bị đơ quá đang chơi game nặng 1 xíu là đơ máy luôn không nhẽ lại ra trả chấp_nhận chịu lỗ tiền vậy buồn cho ẻm này quá,{PERFORMANCE#Negative};{DESIGN#Neutral};{GENERAL#Negative};{SER&ACC#Positive};,0,0,3,0,2,2,0,0,1,0
