comment,label,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
mới mua máy này tại thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khoẻ sóng ổn_định giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,1,1,0,1,1,0,1,0,1,0
pin kém còn lại miễn chê mua 832019 tình_trạng pin còn 88 có ai giống tôi không,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,2,0,0,0,1,0,0,0,0,0
sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,{FEATURES#Negative};,0,0,0,2,0,0,0,0,0,0
mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay_không nhạy,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};,3,0,0,2,3,0,0,0,0,0
mới mua xài được 1 tháng thấy pin rất trâu xài bao mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa mất rút tai nghe ra cắm vào lại thì nó mới nghe được,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};,1,0,0,0,0,1,0,0,2,0
xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung là tầm giá này thì máy này là quá tốt rồi,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,3,0,0,0,1,1,3,0,1,0
mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ_bản lướt web cơ_bản game không chơi,{BATTERY#Negative};{OTHERS};,2,0,0,0,0,0,0,0,0,0
hôm_qua ngày 2362020 em ra thế_giới di_động mua chiếc dthoai galaxy a51 lúc đầu bên cửa_hàng báo_giá 7 790 00 đ được tặng phiếu mua hàng 250k lúc thanh_toán thì nhân_viên lại thanh_toán 7 990 000 đ không có phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k chán quá đúng là làm mất thời_gian,{SER&ACC#Negative};{OTHERS};,0,0,0,0,0,0,0,0,2,0
tại_sao điện_thoại mới mà sạc nó nóng máy lên quá_trời t đã tắt tất_cả mạng ứng dung game và cấm không cho chạy nền cũng không vừa sạc vừa dùng mà điện_thoại nóng quá_trời sạc 3 tiếng mới đầy,{BATTERY#Negative};{OTHERS};,2,0,0,0,0,0,0,0,0,0
lúc đầu định mua samsung vào cửa_hàng nhân_viên tư_vấn oppo a 9 thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc thì lâu không bao_giờ dungg oppo nữa,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,2,0,0,0,0,2,0,2,2,0
